Done,Topic,Name,Confidence,Notes,URL,Week
"",Dynamic Programming,"Longest Increasing Subsequence","","",https://leetcode.com/problems/longest-increasing-subsequence, 6
"",Graph,"Graph Valid Tree","","",https://leetcode.com/problems/graph-valid-tree, 6
"",Graph,"Course Schedule II","","",https://leetcode.com/problems/course-schedule-ii, 6
"",Linked List,"Swap Nodes in Pairs","","",https://leetcode.com/problems/swap-nodes-in-pairs, 6
"",Binary Tree,"Path Sum II","","",https://leetcode.com/problems/path-sum-ii, 6
"",Array,"Longest Consecutive Sequence","","",https://leetcode.com/problems/longest-consecutive-sequence, 6
"",Array,"Rotate Array","","",https://leetcode.com/problems/rotate-array, 6
"",Linked List,"Odd Even Linked List","","",https://leetcode.com/problems/odd-even-linked-list, 6
"",Stack,"Decode String","","",https://leetcode.com/problems/decode-string, 6
"",Array,"Contiguous Array","","",https://leetcode.com/problems/contiguous-array, 6
"",Binary Tree,"Maximum Width of Binary Tree","","",https://leetcode.com/problems/maximum-width-of-binary-tree, 6
"",Heap,"Find K Closest Elements","","",https://leetcode.com/problems/find-k-closest-elements, 6
"",String,"Longest Repeating Character Replacement","","",https://leetcode.com/problems/longest-repeating-character-replacement, 6

"",Binary Search Tree,"Inorder Successor in BST","","",https://leetcode.com/problems/inorder-successor-in-bst, 7
"",Dynamic Programming,"Jump Game","","",https://leetcode.com/problems/jump-game, 7
"",Linked List,"Add Two Numbers","","",https://leetcode.com/problems/add-two-numbers, 7
"",Recursion,"Generate Parentheses","","",https://leetcode.com/problems/generate-parentheses, 7
"",Linked List,"Sort List","","",https://leetcode.com/problems/sort-list, 7
"",Graph,"Number of Connected Components in an Undirected Graph","","",https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph, 7
"",Graph,"Minimum Knight Moves","","",https://leetcode.com/problems/minimum-knight-moves, 7
"",Array,"Subarray Sum Equals K","","",https://leetcode.com/problems/subarray-sum-equals-k, 7
"",Stack,"Asteroid Collision","","",https://leetcode.com/problems/asteroid-collision, 7
"",Math,"Random Pick with Weight","","",https://leetcode.com/problems/random-pick-with-weight, 7
"",Heap,"Kth Largest Element in an Array","","",https://leetcode.com/problems/kth-largest-element-in-an-array, 7
"",Dynamic Programming,"Maximal Square","","",https://leetcode.com/problems/maximal-square, 7
"",Matrix,"Rotate Image","","",https://leetcode.com/problems/rotate-image, 7
"",Binary Tree,"Binary Tree Zigzag Level Order Traversal","","",https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal, 7
"",Queue,"Design Hit Counter","","",https://leetcode.com/problems/design-hit-counter, 7
"",Binary Tree,"Path Sum III","","",https://leetcode.com/problems/path-sum-iii, 7

"",Math,"Pow(x, n)","","",https://leetcode.com/problems/powx-n, 8
"",Binary Search,"Search a 2D Matrix","","",https://leetcode.com/problems/search-a-2d-matrix, 8
"",String,"Largest Number","","",https://leetcode.com/problems/largest-number, 8
"",Dynamic Programming,"Decode Ways","","",https://leetcode.com/problems/decode-ways, 8
"",Array,"Meeting Rooms II","","",https://leetcode.com/problems/meeting-rooms-ii, 8
"",Math,"Reverse Integer","","",https://leetcode.com/problems/reverse-integer, 8
"",Matrix,"Set Matrix Zeroes","","",https://leetcode.com/problems/set-matrix-zeroes, 8
"",Linked List,"Reorder List","","",https://leetcode.com/problems/reorder-list, 8
"",String,"Encode and Decode Strings","","",https://leetcode.com/problems/encode-and-decode-strings, 8
"",Graph,"Cheapest Flights Within K Stops","","",https://leetcode.com/problems/cheapest-flights-within-k-stops, 8
"",Binary Tree,"All Nodes Distance K in Binary Tree","","",https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree, 8
"",Array,"3Sum Closest","","",https://leetcode.com/problems/3sum-closest, 8
"",Linked List,"Rotate List","","",https://leetcode.com/problems/rotate-list, 8
"",Binary Search,"Find Minimum in Rotated Sorted Array","","",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array, 8
"",Stack,"Basic Calculator II","","",https://leetcode.com/problems/basic-calculator-ii, 8
